gene_name,cn_type
AC005775.1,deletion
AC005776.1,deletion
AC005776.2,deletion
AC005777.1,deletion
AC005779.1,deletion
AC005779.2,deletion
AC005785.1,deletion
AC005785.2,deletion
AC005786.1,deletion
AC005786.2,deletion
AC005786.3,deletion
AC005786.4,deletion
AC005789.1,deletion
AC005790.1,deletion
AC005796.1,deletion
AC005798.1,deletion
AC005808.1,deletion
AC005821.1,deletion
AC005822.1,deletion
AC005823.1,deletion
AC005823.2,deletion
AC005828.1,deletion
AC005828.2,deletion
AC005828.3,deletion
AC005828.4,deletion
AC005828.5,deletion
AC005828.6,deletion
AC005828.7,deletion
AC005829.1,deletion
AC005829.2,deletion
AC005831.1,deletion
AC005832.1,deletion
AC005832.2,deletion
AC005832.3,deletion
AC005832.4,deletion
AC005833.1,deletion
AC005833.2,deletion
AC005833.3,deletion
AC005837.1,deletion
AC005837.2,deletion
AC005837.3,deletion
AC005838.1,deletion
AC005838.2,deletion
AC005839.1,deletion
AC005840.1,deletion
AC005840.2,deletion
AC005840.3,deletion
AC005840.4,deletion
AC005841.1,deletion
AC005842.1,deletion
AC005845.1,deletion
AC005856.1,deletion
AC005858.1,deletion
AC005858.2,deletion
AC005858.3,deletion
AC005863.1,deletion
AC005865.1,deletion
AC005865.2,deletion
AC005868.1,deletion
AC005871.1,deletion
AC005871.2,deletion
AC005884.1,deletion
AC005884.2,deletion
AC005899.1,deletion
AC005899.2,deletion
AC005899.3,deletion
AC005899.4,deletion
AC005899.5,deletion
AC005899.6,deletion
AC005899.7,deletion
AC005899.8,deletion
AC005901.1,deletion
AC005906.1,deletion
AC005906.2,deletion
AC005908.1,deletion
AC005908.2,deletion
AC005909.1,deletion
AC005911.1,deletion
AC005912.1,deletion
AC005912.2,deletion
AC005915.1,deletion
AC005920.1,deletion
AC005920.2,deletion
AC005920.3,deletion
AC005920.4,deletion
AC005921.1,deletion
AC005921.2,deletion
AC005921.3,deletion
AC005943.1,deletion
AC005943.2,deletion
AC005944.1,deletion
AC005951.1,deletion
AC005954.1,deletion
AC005954.2,deletion
AC005962.1,deletion
AC005972.1,deletion
AC005972.2,deletion
AC005972.3,deletion
AC005972.4,deletion
AC005993.1,deletion
AC005996.1,deletion
AC005999.1,deletion
AC006001.1,deletion
AC006001.2,deletion
AC006001.3,deletion
AC006001.4,deletion
AC006003.1,deletion
AC006004.1,deletion
AC006006.1,deletion
AC006007.1,deletion
AC006011.1,deletion
AC006011.2,deletion
AC006012.1,deletion
AC006013.1,deletion
AC006015.1,deletion
AC006017.1,deletion
AC006019.1,deletion
AC006019.2,deletion
AC006019.3,deletion
AC006020.1,deletion
AC006022.1,deletion
AC006023.1,deletion
AC006023.2,deletion
AC006026.1,deletion
AC006026.2,deletion
AC006026.3,deletion
AC006027.1,deletion
AC006028.1,deletion
AC006030.1,deletion
AC006033.1,deletion
AC006033.2,deletion
AC006037.1,deletion
AC006037.2,deletion
AC006041.1,deletion
AC006042.1,deletion
AC006042.2,deletion
AC006042.3,deletion
AC006042.4,deletion
AC006055.1,deletion
AC006058.1,deletion
AC006058.2,deletion
AC006058.3,deletion
AC006058.4,deletion
AC006059.1,deletion
AC006063.1,deletion
AC006063.2,deletion
AC006064.1,deletion
AC006064.2,deletion
AC006064.3,deletion
AC006064.4,deletion
AC006064.5,deletion
AC006064.6,deletion
AC006065.1,deletion
AC006065.2,deletion
AC006065.3,deletion
AC006065.4,deletion
AC006065.5,deletion
AC006065.6,deletion
AC006076.1,deletion
AC006077.1,deletion
AC006077.2,deletion
AC006111.1,deletion
AC006111.2,deletion
AC006111.3,deletion
AC006115.1,deletion
AC006115.2,deletion
AC006115.3,deletion
AC006116.1,deletion
AC006116.10,deletion
AC006116.2,deletion
AC006116.3,deletion
AC006116.4,deletion
AC006116.5,deletion
AC006116.6,deletion
AC006116.7,deletion
AC006116.8,deletion
AC006116.9,deletion
AC006122.1,deletion
AC006122.2,deletion
AC006128.1,deletion
AC006130.1,deletion
AC006130.2,deletion
AC006133.1,deletion
AC006141.1,deletion
AC006144.1,deletion
AC006145.1,deletion
AC006146.1,deletion
AC006148.1,deletion
AC006148.2,deletion
AC006150.1,deletion
AC006153.1,deletion
AC006157.1,deletion
AC006158.1,deletion
AC006159.1,deletion
AC006159.2,deletion
AC006160.1,deletion
AC006160.2,deletion
AC006195.1,deletion
AC006197.1,deletion
AC006199.1,deletion
AC006205.1,deletion
AC006205.2,deletion
AC006206.1,deletion
AC006206.2,deletion
AC006207.1,deletion
AC006210.1,deletion
AC006210.2,deletion
AC006213.1,deletion
AC006213.2,deletion
AC006213.3,deletion
AC006213.4,deletion
AC006213.5,deletion
AC006213.6,deletion
AC006236.1,deletion
AC006237.1,deletion
AC006238.1,deletion
AC006249.1,deletion
AC006252.1,deletion
AC006254.1,deletion
AC006254.2,deletion
AC006254.3,deletion
AC006262.1,deletion
AC006262.2,deletion
AC006262.3,deletion
AC006262.4,deletion
AC006270.1,deletion
AC006270.2,deletion
AC006270.3,deletion
AC006272.1,deletion
AC006272.2,deletion
AC006273.1,deletion
AC006277.1,deletion
AC006288.1,deletion
AC006296.1,deletion
AC006296.2,deletion
AC006299.1,deletion
